Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,107591,107651,108133,108712,109382,110169,109904,109960,109510,109668,109651,109302
2003,107035,107069,107473,108148,108923,109652,109453,109551,109280,109530,109586,109471
2004,107283,107491,108386,109485,110409,111299,111249,111249,110920,111375,111476,111368
2005,109086,109487,110230,111429,112237,113352,113361,113579,113182,113434,113840,113748
2006,111593,112051,112919,113825,114640,115574,115494,115652,115230,115425,115676,115670
2007,113360,113581,114373,115162,116088,116999,116815,116813,116369,116541,116711,116559
2008,114018,114051,114538,115065,115607,116185,115857,115658,114775,114505,113710,112815
2009,109571,108938,108715,108765,109107,109386,109073,108882,108298,108283,108229,107850
2010,105444,105490,106176,107220,107931,108710,108784,108936,108568,108984,109180,109034
2011,106650,107087,107904,109098,109874,110795,110848,111022,110788,111199,111452,111428
2012,109303,109796,110623,111505,112367,113155,113171,113345,113004,113391,113681,113719
2013,111349,111903,112645,113633,114574,115441,115528,115735,115368,115826,116229,116113
2014,113809,114119,114962,116051,117010,117987,118155,118331,118002,118559,118910,119019
2015,116688,117084,117751,118874,119859,120751,120963,120966,120524,121199,121509,121603
2016,119108,119506,120262,121330,122017,123116,123248,123299,122929,123391,123702,123631
2017,121222,121798,122385,123388,124287,125340,125439,125528,124904,125516,125970,125855
2018,123267,124042,124688,125658,126680,127761,127807,127986,127369,127997,128371,128431
