Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2002,109475,109334,109276,109181,109127,109143,109071,109019,108995,109095,109079,108902
2003,108971,108827,108633,108599,108638,108592,108584,108615,108777,108928,108954,109064
2004,109239,109285,109575,109803,110100,110195,110235,110331,110479,110806,110833,110958
2005,111063,111298,111440,111784,111929,112194,112471,112661,112745,112847,113154,113289
2006,113603,113884,114156,114308,114332,114415,114570,114711,114788,114814,115007,115175
2007,115402,115451,115647,115680,115815,115878,115884,115801,115844,115904,115973,116035
2008,116031,115921,115840,115604,115387,115199,114935,114659,114246,113759,112989,112286
2009,111476,110775,109989,109168,108874,108446,108159,107947,107804,107522,107525,107299
2010,107308,107250,107401,107571,107666,107782,107875,108008,108118,108335,108474,108568
2011,108620,108845,109122,109453,109589,109788,109975,110119,110386,110580,110752,110970
2012,111326,111558,111826,111910,112047,112096,112269,112439,112624,112799,112949,113188
2013,113413,113666,113833,114013,114258,114440,114576,114820,115017,115232,115440,115556
2014,115740,115909,116162,116447,116693,116967,117180,117421,117672,117906,118196,118432
2015,118637,118884,118973,119219,119535,119724,119958,120084,120203,120536,120775,120993
2016,121083,121315,121515,121685,121705,121994,122225,122397,122636,122785,122959,123131
2017,123383,123587,123655,123829,123994,124214,124402,124610,124626,124903,125120,125294
2018,125482,125803,125956,126130,126390,126582,126719,126986,127103,127384,127557,127858
